team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SJS,2022,SJS,SJS,Team Level,other,69,0.46,0.48,0.48,8562.0,130.0,28.33,9.33,21.61,4.42,71.43,44.88,24.28,28.33,24.28,128.0,52.0,61.0,241.0,22.0,9.0,0.0,30.0,1.0,65.0,53.0,106.0,158.0,8.0,16.0,111.0,35.0,23.0,15.0,93.0,49.0,38.0,3.84,5.89,18.59,3.0,6.0,13.0,241.0,180.0,180.0,2.0,2.66,3.07,3.07,27.92,27.92,24.46,143.71,33.88,10.08,24.96,4.98,71.88,52.23,31.77,33.88,31.77,148.0,50.0,59.0,257.0,39.0,14.0,3.0,23.0,6.0,57.0,59.0,109.0,159.0,6.0,12.0,114.0,25.0,29.0,16.0,114.0,39.0,45.0,4.56,4.76,24.55,9.0,7.0,23.0,257.0,198.0,198.0,7.0,2.9,4.65,4.65,32.13,32.13,31.26
SJS,2022,SJS,SJS,Team Level,all,69,0.5,0.49,0.48,251756.0,2096.35,225.34,153.7,477.73,69.72,1149.87,813.63,212.83,224.98,212.45,2069.0,821.0,1047.0,3937.0,198.0,216.0,38.0,450.0,61.0,888.0,1077.0,1871.0,2692.0,244.0,559.0,2076.0,1569.0,637.0,558.0,1999.0,635.0,256.0,62.36,79.13,83.85,66.0,69.0,63.0,3906.56,2890.0,2873.16,259.0,33.97,49.31,49.37,209.94,209.17,201.65,2205.56,227.35,158.71,500.61,73.82,1226.48,882.03,217.31,229.57,219.44,2180.0,889.0,1100.0,4169.0,259.0,201.0,35.0,549.0,75.0,931.0,1055.0,1921.0,2810.0,211.0,489.0,2016.0,1492.0,647.0,562.0,2201.0,634.0,234.0,68.07,76.93,82.35,93.0,97.0,69.0,4215.58,3069.0,3102.07,272.0,35.19,44.62,44.67,217.87,219.97,214.7
SJS,2022,SJS,SJS,Team Level,5on5,69,0.51,0.5,0.49,203857.0,1665.72,160.26,117.57,396.77,55.65,910.03,660.74,154.08,159.91,153.69,1628.0,673.0,855.0,3156.0,143.0,169.0,29.0,364.0,52.0,699.0,874.0,1485.0,2158.0,217.0,505.0,1626.0,1472.0,534.0,478.0,1633.0,493.0,175.0,50.86,61.51,47.88,57.0,56.0,30.0,3125.56,2301.0,2284.16,234.0,24.45,36.0,36.06,148.65,147.87,145.01,1694.48,151.09,116.14,400.3,56.47,941.27,694.73,145.84,153.31,147.96,1686.0,674.0,856.0,3216.0,179.0,148.0,23.0,443.0,58.0,716.0,817.0,1507.0,2181.0,193.0,453.0,1557.0,1386.0,545.0,455.0,1736.0,481.0,143.0,53.39,58.54,39.14,75.0,77.0,27.0,3262.58,2360.0,2393.07,239.0,24.04,29.92,29.97,145.16,147.26,144.76
SJS,2022,SJS,SJS,Team Level,4on5,69,0.07,0.09,0.1,21425.0,37.38,2.77,1.67,5.15,1.1,11.71,27.6,2.77,2.77,2.77,45.0,5.0,11.0,61.0,3.0,0.0,0.0,10.0,1.0,4.0,32.0,42.0,47.0,6.0,12.0,156.0,45.0,61.0,21.0,39.0,9.0,2.0,0.95,1.15,0.68,2.0,0.0,1.0,61.0,50.0,50.0,18.0,0.39,0.0,0.0,3.17,3.17,3.15,318.03,37.37,29.87,68.0,10.75,196.98,100.03,34.73,37.37,34.73,292.0,151.0,172.0,615.0,34.0,37.0,8.0,72.0,8.0,152.0,140.0,258.0,409.0,9.0,18.0,209.0,26.0,24.0,66.0,302.0,101.0,40.0,8.52,12.05,16.8,8.0,9.0,17.0,615.0,443.0,443.0,5.0,7.65,9.71,9.71,35.31,35.31,33.43
SJS,2022,SJS,SJS,Team Level,5on4,69,0.87,0.86,0.84,17912.0,263.25,33.99,25.14,54.21,8.55,156.7,80.42,31.71,33.99,31.71,268.0,91.0,120.0,479.0,30.0,38.0,9.0,46.0,7.0,120.0,118.0,238.0,329.0,13.0,26.0,183.0,17.0,19.0,44.0,234.0,84.0,41.0,6.71,10.58,16.7,4.0,7.0,19.0,479.0,359.0,359.0,5.0,6.46,10.24,10.24,30.21,30.21,29.03,49.35,5.02,2.62,7.36,1.61,16.36,35.04,4.98,5.02,4.98,54.0,14.0,13.0,81.0,7.0,2.0,1.0,11.0,3.0,6.0,39.0,47.0,61.0,3.0,6.0,136.0,55.0,49.0,25.0,49.0,13.0,6.0,1.59,1.57,1.86,1.0,4.0,2.0,81.0,68.0,68.0,21.0,0.6,0.34,0.34,5.28,5.28,5.25
CBJ,2022,CBJ,CBJ,Team Level,other,67,0.54,0.51,0.51,8869.0,140.55,30.21,11.59,24.89,4.96,78.43,39.93,25.63,30.21,25.63,133.0,57.0,51.0,241.0,22.0,19.0,2.0,20.0,5.0,77.0,47.0,111.0,168.0,6.0,12.0,112.0,17.0,17.0,17.0,86.0,60.0,44.0,3.02,7.4,19.79,5.0,7.0,10.0,241.0,190.0,190.0,5.0,3.34,7.06,7.06,26.49,26.49,23.77,132.19,26.07,9.7,23.18,4.44,75.37,43.23,25.11,26.07,25.11,124.0,58.0,50.0,232.0,32.0,7.0,4.0,23.0,3.0,63.0,54.0,92.0,150.0,4.0,8.0,107.0,18.0,10.0,10.0,101.0,47.0,34.0,3.77,5.96,16.34,6.0,7.0,19.0,232.0,182.0,182.0,3.0,2.87,2.16,2.16,26.78,26.78,25.95
CBJ,2022,CBJ,CBJ,Team Level,all,67,0.45,0.46,0.46,243416.0,2035.06,195.79,142.2,466.56,67.45,1112.0,805.99,185.72,194.47,184.51,1974.0,816.0,951.0,3741.0,175.0,189.0,21.0,465.0,71.0,893.0,997.0,1799.0,2615.0,236.0,511.0,1933.0,1548.0,432.0,454.0,2015.0,581.0,194.0,59.45,70.54,65.79,64.0,70.0,41.0,3685.19,2790.0,2757.51,226.0,31.55,39.01,39.07,188.26,186.94,181.35,2390.05,235.97,168.33,551.1,78.95,1319.71,933.92,225.76,239.09,228.8,2352.0,936.0,1124.0,4412.0,252.0,232.0,41.0,568.0,79.0,1052.0,1105.0,2100.0,3036.0,211.0,461.0,2046.0,1177.0,469.0,431.0,2369.0,670.0,249.0,68.63,82.57,84.76,88.0,85.0,79.0,4513.99,3288.0,3349.8,199.0,37.25,49.79,49.79,223.43,226.52,221.01
CBJ,2022,CBJ,CBJ,Team Level,5on5,67,0.44,0.45,0.45,199603.0,1576.96,132.94,104.63,380.4,52.37,852.54,640.12,128.44,131.62,127.23,1533.0,630.0,788.0,2951.0,119.0,147.0,16.0,372.0,56.0,671.0,798.0,1414.0,2044.0,200.0,439.0,1501.0,1450.0,374.0,388.0,1617.0,435.0,111.0,49.15,53.0,30.8,50.0,54.0,15.0,2895.19,2163.0,2130.51,207.0,21.62,27.52,27.58,126.99,125.66,123.63,1893.95,167.25,127.19,456.79,62.39,1038.61,757.77,160.61,170.38,163.64,1875.0,735.0,944.0,3554.0,173.0,188.0,32.0,473.0,68.0,820.0,888.0,1702.0,2437.0,182.0,403.0,1610.0,1114.0,394.0,361.0,1926.0,517.0,167.0,56.28,63.72,47.25,74.0,65.0,34.0,3655.99,2610.0,2671.8,179.0,26.33,39.47,39.47,154.11,157.21,154.21
CBJ,2022,CBJ,CBJ,Team Level,4on5,67,0.14,0.15,0.16,18427.0,60.09,6.04,3.12,7.51,1.71,18.47,42.15,5.94,6.04,5.94,64.0,15.0,14.0,93.0,4.0,0.0,0.0,11.0,2.0,13.0,49.0,60.0,75.0,13.0,26.0,158.0,59.0,31.0,16.0,52.0,19.0,8.0,1.45,2.34,2.24,0.0,2.0,2.0,93.0,79.0,79.0,12.0,0.72,0.0,0.0,6.76,6.76,6.65,307.16,35.75,28.36,63.74,10.36,188.55,95.25,33.32,35.75,33.32,292.0,130.0,119.0,541.0,40.0,34.0,5.0,68.0,7.0,157.0,116.0,252.0,382.0,18.0,36.0,187.0,13.0,11.0,45.0,298.0,86.0,38.0,7.19,10.23,18.34,6.0,11.0,23.0,541.0,422.0,422.0,3.0,7.35,7.34,7.34,35.76,35.76,34.17
CBJ,2022,CBJ,CBJ,Team Level,5on4,67,0.79,0.84,0.83,16517.0,257.45,26.6,22.86,53.76,8.41,162.56,83.8,25.71,26.6,25.71,244.0,114.0,98.0,456.0,30.0,23.0,3.0,62.0,8.0,132.0,103.0,214.0,328.0,17.0,34.0,162.0,22.0,10.0,33.0,260.0,67.0,31.0,5.84,7.8,12.95,9.0,7.0,14.0,456.0,358.0,358.0,2.0,5.87,4.44,4.44,28.03,28.03,27.31,56.75,6.89,3.09,7.39,1.77,17.18,37.68,6.72,6.89,6.72,61.0,13.0,11.0,85.0,7.0,3.0,0.0,4.0,1.0,12.0,47.0,54.0,67.0,7.0,14.0,142.0,32.0,54.0,15.0,44.0,20.0,10.0,1.39,2.67,2.83,2.0,2.0,3.0,85.0,74.0,74.0,14.0,0.71,0.82,0.82,6.77,6.77,6.68
