team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
WPG,2022,WPG,WPG,Team Level,other,69,0.52,0.55,0.55,9539.0,150.47,32.94,11.42,26.09,5.06,85.83,46.65,29.35,32.94,29.35,141.0,67.0,62.0,270.0,38.0,10.0,4.0,18.0,2.0,82.0,58.0,103.0,170.0,5.0,10.0,100.0,35.0,17.0,17.0,106.0,62.0,40.0,4.09,7.69,21.16,6.0,12.0,20.0,270.0,208.0,208.0,7.0,3.36,3.88,3.88,32.41,32.41,30.05,122.51,30.53,8.49,21.68,4.08,62.77,41.46,29.14,30.53,29.14,118.0,51.0,49.0,218.0,30.0,10.0,3.0,21.0,2.0,58.0,48.0,88.0,139.0,7.0,16.0,114.0,39.0,13.0,19.0,76.0,51.0,42.0,3.06,6.48,21.0,6.0,6.0,18.0,218.0,169.0,169.0,13.0,2.45,2.83,2.83,30.15,30.15,28.98
WPG,2022,WPG,WPG,Team Level,all,69,0.51,0.51,0.51,250242.0,2172.73,225.94,153.56,493.92,72.37,1219.16,862.04,214.06,225.59,213.77,2091.0,936.0,1007.0,4034.0,211.0,189.0,32.0,417.0,57.0,1086.0,1067.0,1880.0,2816.0,246.0,556.0,1810.0,1531.0,508.0,601.0,2159.0,631.0,237.0,65.06,77.1,83.78,80.0,70.0,61.0,4030.78,3027.0,3028.63,420.0,34.32,40.23,40.3,219.95,220.01,212.65,2136.18,219.31,148.98,491.69,70.24,1175.66,855.13,208.79,219.79,209.34,2141.0,820.0,949.0,3910.0,196.0,181.0,28.0,407.0,50.0,991.0,1136.0,1945.0,2765.0,264.0,582.0,1934.0,1492.0,475.0,656.0,2098.0,639.0,224.0,61.65,80.02,77.63,60.0,69.0,67.0,3913.76,2961.0,2964.18,474.0,32.99,39.28,39.28,213.01,213.45,207.0
WPG,2022,WPG,WPG,Team Level,5on5,69,0.51,0.51,0.5,201157.0,1663.42,149.12,112.05,396.36,55.52,930.89,682.07,143.57,148.77,143.28,1611.0,715.0,798.0,3124.0,133.0,147.0,23.0,333.0,47.0,812.0,854.0,1478.0,2193.0,224.0,511.0,1411.0,1412.0,432.0,503.0,1708.0,470.0,148.0,51.42,57.9,39.8,66.0,48.0,19.0,3120.78,2326.0,2327.63,372.0,23.21,29.47,29.54,142.78,142.84,140.27,1664.28,145.55,110.7,403.23,54.61,914.32,676.59,139.49,146.03,140.04,1678.0,627.0,741.0,3046.0,130.0,145.0,19.0,335.0,41.0,755.0,899.0,1548.0,2175.0,229.0,507.0,1425.0,1365.0,403.0,539.0,1699.0,481.0,125.0,50.16,60.67,34.71,49.0,54.0,27.0,3049.76,2305.0,2308.18,401.0,22.92,31.13,31.13,137.35,137.78,135.13
WPG,2022,WPG,WPG,Team Level,4on5,69,0.1,0.11,0.13,19319.0,46.86,3.94,2.11,6.17,1.3,14.07,33.44,3.88,3.94,3.88,49.0,12.0,8.0,69.0,4.0,0.0,0.0,2.0,2.0,11.0,42.0,45.0,57.0,7.0,14.0,132.0,59.0,44.0,36.0,45.0,12.0,4.0,1.41,1.53,1.0,1.0,2.0,1.0,69.0,61.0,61.0,36.0,0.49,0.0,0.0,4.42,4.42,4.36,284.43,36.5,26.35,57.89,9.68,178.71,92.88,33.54,36.5,33.54,274.0,128.0,146.0,548.0,31.0,24.0,6.0,48.0,7.0,167.0,125.0,243.0,371.0,17.0,34.0,195.0,21.0,13.0,41.0,265.0,92.0,45.0,6.96,10.78,18.76,4.0,7.0,20.0,548.0,402.0,402.0,5.0,6.82,4.82,4.82,38.49,38.49,35.86
WPG,2022,WPG,WPG,Team Level,5on4,69,0.86,0.85,0.84,20227.0,311.97,39.94,27.99,65.3,10.51,188.37,99.89,37.27,39.94,37.27,290.0,142.0,139.0,571.0,36.0,32.0,5.0,64.0,6.0,181.0,113.0,254.0,396.0,10.0,21.0,167.0,25.0,15.0,45.0,300.0,87.0,45.0,8.14,9.98,21.82,7.0,8.0,21.0,571.0,432.0,432.0,5.0,7.27,6.87,6.87,40.34,40.34,37.98,64.96,6.73,3.44,8.9,1.87,19.85,44.2,6.6,6.73,6.6,71.0,14.0,13.0,98.0,5.0,2.0,0.0,3.0,0.0,11.0,64.0,66.0,80.0,11.0,25.0,200.0,67.0,46.0,57.0,58.0,15.0,12.0,1.47,2.09,3.16,1.0,2.0,2.0,98.0,85.0,85.0,55.0,0.79,0.49,0.49,7.03,7.03,7.02
CHI,2022,CHI,CHI,Team Level,other,68,0.44,0.44,0.46,7230.0,103.81,22.64,7.62,18.08,3.35,54.96,33.35,19.77,22.64,19.77,105.0,35.0,37.0,177.0,20.0,13.0,4.0,22.0,6.0,43.0,36.0,85.0,120.0,5.0,12.0,108.0,23.0,15.0,21.0,78.0,35.0,27.0,2.55,4.6,15.49,2.0,9.0,9.0,177.0,140.0,140.0,7.0,2.16,5.43,5.43,19.37,19.37,17.97,118.3,28.31,8.76,20.15,4.04,64.67,38.07,25.29,28.31,25.29,111.0,53.0,57.0,221.0,23.0,10.0,0.0,14.0,6.0,59.0,52.0,88.0,141.0,6.0,12.0,87.0,13.0,18.0,13.0,85.0,38.0,41.0,3.29,4.43,20.59,3.0,2.0,18.0,221.0,164.0,164.0,6.0,2.58,3.38,2.54,28.34,28.34,26.34
CHI,2022,CHI,CHI,Team Level,all,68,0.43,0.44,0.44,247456.0,1824.53,180.93,125.44,422.58,59.68,986.31,724.05,172.94,179.67,171.7,1807.0,692.0,816.0,3315.0,171.0,157.0,27.0,374.0,51.0,767.0,979.0,1636.0,2328.0,233.0,539.0,1981.0,1637.0,603.0,661.0,1831.0,455.0,213.0,50.58,57.3,73.04,58.0,53.0,60.0,3261.3,2499.0,2469.36,365.0,27.76,36.19,36.24,172.46,171.24,166.91,2323.88,239.47,164.24,538.53,76.67,1261.75,913.42,228.46,242.65,231.56,2325.0,870.0,1076.0,4271.0,238.0,225.0,39.0,399.0,70.0,1096.0,1167.0,2087.0,2957.0,234.0,536.0,1738.0,1267.0,496.0,492.0,2272.0,650.0,273.0,66.34,79.98,93.14,86.0,70.0,82.0,4365.05,3195.0,3254.05,228.0,36.12,50.88,51.02,224.57,227.56,221.23
CHI,2022,CHI,CHI,Team Level,5on5,68,0.42,0.43,0.43,203402.0,1423.17,122.11,93.32,344.77,46.99,765.97,578.83,118.62,120.84,117.38,1392.0,560.0,655.0,2607.0,116.0,123.0,18.0,305.0,39.0,592.0,777.0,1276.0,1836.0,206.0,478.0,1516.0,1532.0,507.0,545.0,1463.0,354.0,135.0,40.0,44.47,37.64,49.0,36.0,31.0,2553.3,1952.0,1922.36,324.0,19.33,26.39,26.44,115.0,113.77,112.27,1882.16,169.44,128.12,454.34,62.23,1023.74,752.2,163.38,172.62,166.49,1887.0,704.0,880.0,3471.0,167.0,181.0,33.0,335.0,60.0,895.0,953.0,1720.0,2424.0,207.0,479.0,1367.0,1190.0,420.0,419.0,1890.0,521.0,180.0,55.19,64.3,49.95,74.0,51.0,42.0,3565.05,2591.0,2650.05,194.0,26.56,38.09,38.23,157.78,160.76,157.76
CHI,2022,CHI,CHI,Team Level,4on5,68,0.11,0.13,0.14,17660.0,44.6,4.3,2.27,6.27,1.27,14.28,30.62,4.22,4.3,4.22,56.0,3.0,10.0,69.0,6.0,0.0,0.0,3.0,0.0,7.0,43.0,50.0,53.0,6.0,15.0,159.0,63.0,64.0,31.0,44.0,7.0,8.0,1.11,1.01,2.18,2.0,3.0,1.0,69.0,59.0,59.0,29.0,0.53,0.0,0.0,4.82,4.82,4.74,262.34,34.1,24.01,55.24,8.49,154.18,81.99,32.23,34.1,32.23,269.0,89.0,124.0,482.0,43.0,29.0,5.0,44.0,4.0,131.0,107.0,226.0,315.0,12.0,27.0,161.0,16.0,10.0,38.0,249.0,68.0,41.0,6.42,8.15,19.53,9.0,14.0,20.0,482.0,358.0,358.0,6.0,6.22,8.29,9.14,31.18,31.18,29.86
CHI,2022,CHI,CHI,Team Level,5on4,68,0.81,0.83,0.81,19164.0,252.94,31.89,22.23,53.47,8.06,151.1,81.25,30.34,31.89,30.34,254.0,94.0,114.0,462.0,29.0,21.0,5.0,44.0,6.0,125.0,123.0,225.0,319.0,16.0,34.0,198.0,19.0,17.0,64.0,246.0,59.0,43.0,6.93,7.22,17.73,5.0,5.0,19.0,462.0,348.0,348.0,5.0,5.75,4.37,4.37,33.27,33.27,31.92,61.07,7.62,3.36,8.8,1.91,19.16,41.17,7.55,7.62,7.55,58.0,24.0,15.0,97.0,5.0,5.0,1.0,6.0,0.0,11.0,55.0,53.0,77.0,9.0,18.0,123.0,48.0,48.0,22.0,48.0,23.0,11.0,1.44,3.1,3.08,0.0,3.0,2.0,97.0,82.0,82.0,22.0,0.77,1.11,1.11,7.27,7.27,7.26
WSH,2022,WSH,WSH,Team Level,other,69,0.49,0.52,0.54,9389.0,138.81,28.59,9.3,25.41,4.6,72.17,47.94,26.63,28.59,26.63,132.0,56.0,61.0,249.0,29.0,8.0,2.0,19.0,6.0,72.0,54.0,103.0,159.0,8.0,16.0,98.0,31.0,13.0,20.0,104.0,47.0,37.0,3.67,5.93,18.99,6.0,8.0,15.0,249.0,188.0,188.0,8.0,2.64,3.2,3.2,28.02,28.02,26.75,114.8,29.34,7.36,19.49,3.75,58.27,41.86,27.11,29.34,27.11,113.0,48.0,65.0,226.0,26.0,8.0,2.0,13.0,3.0,60.0,51.0,87.0,135.0,11.0,22.0,115.0,20.0,16.0,27.0,88.0,32.0,41.0,3.21,3.84,22.28,0.0,3.0,23.0,226.0,161.0,161.0,11.0,2.07,2.45,2.28,29.06,29.06,27.61
WSH,2022,WSH,WSH,Team Level,all,69,0.5,0.51,0.5,251101.0,2209.05,216.39,151.64,515.24,74.19,1193.85,883.68,205.96,217.02,206.59,2162.0,873.0,1104.0,4139.0,214.0,217.0,31.0,448.0,64.0,1003.0,1090.0,1948.0,2821.0,238.0,535.0,1943.0,1731.0,481.0,632.0,2174.0,644.0,217.0,62.63,78.68,75.07,67.0,78.0,69.0,4135.26,3035.0,3036.7,326.0,33.59,42.95,43.4,206.58,207.21,201.51,2141.21,218.71,146.02,493.55,70.92,1180.75,865.11,208.82,219.18,209.28,2096.0,880.0,1054.0,4030.0,206.0,174.0,31.0,468.0,60.0,957.0,1111.0,1890.0,2770.0,258.0,566.0,1956.0,1601.0,546.0,587.0,2124.0,634.0,218.0,64.2,77.23,77.28,65.0,66.0,75.0,4049.28,2976.0,2986.92,306.0,31.96,38.21,38.21,212.4,212.84,207.26
WSH,2022,WSH,WSH,Team Level,5on5,69,0.5,0.51,0.5,203392.0,1735.65,150.44,113.55,420.4,57.85,929.71,709.04,144.64,151.07,145.27,1708.0,673.0,887.0,3268.0,147.0,173.0,23.0,373.0,51.0,756.0,882.0,1561.0,2234.0,216.0,491.0,1533.0,1623.0,417.0,531.0,1729.0,513.0,139.0,50.27,62.84,37.31,55.0,60.0,32.0,3264.26,2381.0,2382.7,294.0,23.56,33.24,33.95,140.04,140.67,138.18,1692.93,147.81,110.9,408.78,56.27,933.87,693.36,143.27,148.28,143.73,1647.0,704.0,836.0,3187.0,146.0,137.0,20.0,389.0,49.0,727.0,903.0,1501.0,2205.0,226.0,504.0,1475.0,1509.0,465.0,480.0,1734.0,487.0,130.0,52.29,59.55,35.98,59.0,56.0,31.0,3206.28,2351.0,2361.92,263.0,22.89,27.4,27.56,143.14,143.57,141.32
WSH,2022,WSH,WSH,Team Level,4on5,69,0.11,0.14,0.15,18076.0,48.38,4.55,2.54,7.13,1.77,16.66,35.33,4.36,4.55,4.36,57.0,11.0,18.0,86.0,2.0,5.0,0.0,7.0,0.0,10.0,44.0,55.0,66.0,6.0,12.0,141.0,45.0,25.0,26.0,49.0,15.0,4.0,1.32,1.91,1.32,1.0,1.0,0.0,86.0,68.0,68.0,18.0,0.58,1.05,1.05,4.09,4.09,4.05,277.44,36.5,25.07,58.03,9.28,170.91,90.21,33.36,36.5,33.36,272.0,118.0,145.0,535.0,29.0,29.0,9.0,60.0,8.0,153.0,111.0,243.0,361.0,17.0,32.0,183.0,20.0,16.0,52.0,249.0,99.0,42.0,7.16,11.66,17.67,5.0,4.0,20.0,535.0,390.0,390.0,9.0,6.39,8.36,8.36,34.52,34.52,32.66
WSH,2022,WSH,WSH,Team Level,5on4,69,0.87,0.87,0.84,20244.0,286.21,32.81,26.24,62.3,9.97,175.31,91.37,30.33,32.81,30.33,265.0,133.0,138.0,536.0,36.0,31.0,6.0,49.0,7.0,165.0,110.0,229.0,362.0,8.0,16.0,171.0,32.0,26.0,55.0,292.0,69.0,37.0,7.37,7.99,17.46,5.0,9.0,22.0,536.0,398.0,398.0,6.0,6.8,5.46,5.2,34.43,34.43,32.53,56.05,5.07,2.69,7.25,1.6,17.69,39.68,5.06,5.07,5.06,64.0,10.0,8.0,82.0,5.0,0.0,0.0,6.0,0.0,17.0,46.0,59.0,69.0,4.0,8.0,183.0,52.0,49.0,28.0,53.0,16.0,5.0,1.54,2.18,1.35,1.0,3.0,1.0,82.0,74.0,74.0,23.0,0.62,0.0,0.0,5.69,5.69,5.68
NSH,2022,NSH,NSH,Team Level,other,66,0.5,0.54,0.56,10053.0,165.78,34.77,12.62,29.46,5.37,92.73,55.04,30.53,34.77,30.53,156.0,74.0,66.0,296.0,27.0,16.0,4.0,33.0,9.0,73.0,72.0,129.0,203.0,4.0,11.0,126.0,33.0,20.0,19.0,125.0,60.0,45.0,5.58,7.06,22.14,6.0,5.0,16.0,296.0,230.0,230.0,7.0,3.7,6.3,6.3,32.17,32.17,29.29,134.41,34.52,8.95,21.28,4.44,69.0,45.82,29.52,34.52,29.52,126.0,58.0,71.0,255.0,28.0,8.0,3.0,13.0,9.0,67.0,59.0,98.0,156.0,7.0,14.0,105.0,36.0,25.0,21.0,77.0,64.0,43.0,3.47,7.91,23.14,4.0,8.0,16.0,255.0,184.0,184.0,8.0,2.59,2.94,2.94,34.17,34.17,30.4
NSH,2022,NSH,NSH,Team Level,all,66,0.49,0.49,0.48,240792.0,2075.62,229.02,152.31,467.72,69.23,1154.43,808.3,215.26,229.8,216.02,2013.0,868.0,1026.0,3907.0,185.0,211.0,40.0,458.0,65.0,940.0,1023.0,1828.0,2696.0,257.0,615.0,1921.0,1891.0,462.0,542.0,1991.0,639.0,251.0,64.37,78.82,85.82,60.0,47.0,78.0,3924.17,2881.0,2895.37,296.0,34.14,48.52,48.52,214.63,215.31,207.54,2218.73,237.38,159.32,494.59,74.39,1225.59,869.74,223.9,238.0,224.47,2195.0,866.0,1050.0,4111.0,190.0,217.0,20.0,486.0,60.0,962.0,1146.0,2005.0,2871.0,246.0,576.0,1762.0,1580.0,509.0,591.0,2121.0,695.0,245.0,66.17,85.11,86.1,45.0,82.0,63.0,4106.03,3061.0,3053.36,334.0,35.37,45.72,45.72,227.03,227.18,219.03
NSH,2022,NSH,NSH,Team Level,5on5,66,0.49,0.49,0.48,190803.0,1583.26,153.16,110.41,374.81,52.68,871.75,629.19,145.99,153.95,146.76,1538.0,654.0,813.0,3005.0,122.0,166.0,32.0,359.0,50.0,712.0,784.0,1416.0,2070.0,234.0,566.0,1465.0,1775.0,380.0,445.0,1568.0,468.0,156.0,50.29,58.28,44.6,47.0,36.0,39.0,3022.17,2192.0,2206.37,263.0,22.99,36.59,37.33,138.82,139.5,136.59,1686.21,156.93,115.6,395.05,56.13,930.66,675.63,151.15,157.55,151.72,1657.0,673.0,818.0,3148.0,118.0,159.0,11.0,398.0,39.0,710.0,906.0,1539.0,2212.0,225.0,534.0,1299.0,1470.0,418.0,465.0,1661.0,525.0,144.0,52.59,64.72,39.63,35.0,58.0,25.0,3143.03,2330.0,2322.36,288.0,23.95,32.13,32.23,148.65,148.8,145.97
NSH,2022,NSH,NSH,Team Level,4on5,66,0.13,0.11,0.12,20868.0,49.65,5.97,2.94,7.09,1.61,15.53,32.86,5.87,5.97,5.87,48.0,18.0,9.0,75.0,3.0,3.0,0.0,7.0,1.0,15.0,37.0,45.0,63.0,5.0,10.0,162.0,62.0,52.0,27.0,42.0,16.0,8.0,1.43,2.02,2.51,1.0,1.0,1.0,75.0,66.0,66.0,24.0,0.67,0.52,0.52,6.11,6.11,6.09,336.2,39.54,31.43,69.84,11.93,206.44,105.84,36.97,39.54,36.97,340.0,125.0,153.0,618.0,38.0,48.0,6.0,68.0,12.0,172.0,127.0,302.0,427.0,9.0,18.0,203.0,27.0,14.0,71.0,331.0,82.0,52.0,8.4,9.57,21.57,4.0,13.0,21.0,618.0,465.0,465.0,8.0,8.07,10.29,10.19,37.41,37.41,35.92
NSH,2022,NSH,NSH,Team Level,5on4,66,0.85,0.86,0.83,19068.0,276.94,35.11,26.34,56.37,9.57,174.43,91.19,32.86,35.11,32.86,271.0,122.0,138.0,531.0,33.0,26.0,4.0,59.0,5.0,140.0,130.0,238.0,360.0,14.0,28.0,168.0,21.0,10.0,51.0,256.0,95.0,42.0,7.07,11.47,16.58,6.0,5.0,22.0,531.0,393.0,393.0,2.0,6.78,5.1,4.36,37.53,37.53,35.58,61.91,6.39,3.35,8.41,1.89,19.49,42.46,6.28,6.39,6.28,72.0,10.0,8.0,90.0,6.0,2.0,0.0,7.0,0.0,13.0,54.0,66.0,76.0,5.0,10.0,155.0,47.0,52.0,34.0,52.0,24.0,6.0,1.72,2.92,1.76,2.0,3.0,1.0,90.0,82.0,82.0,30.0,0.76,0.36,0.36,6.8,6.8,6.74
ANA,2022,ANA,ANA,Team Level,other,68,0.45,0.45,0.46,7723.0,108.83,20.25,8.01,19.48,3.58,57.51,38.16,18.87,20.25,18.87,114.0,33.0,41.0,188.0,25.0,11.0,4.0,17.0,2.0,49.0,43.0,89.0,122.0,7.0,14.0,104.0,17.0,24.0,17.0,81.0,38.0,28.0,3.02,4.54,12.7,3.0,9.0,13.0,188.0,147.0,147.0,7.0,2.3,3.65,4.2,18.36,18.36,17.62,130.51,24.82,9.65,23.23,4.29,67.24,46.76,22.97,24.82,22.97,127.0,49.0,52.0,228.0,23.0,10.0,2.0,20.0,4.0,66.0,53.0,104.0,153.0,11.0,22.0,96.0,17.0,21.0,21.0,91.0,56.0,29.0,3.58,7.77,13.47,4.0,6.0,13.0,228.0,176.0,176.0,8.0,2.69,2.97,3.3,24.21,24.21,22.89
ANA,2022,ANA,ANA,Team Level,all,68,0.4,0.44,0.43,248243.0,1952.49,175.34,133.49,446.95,63.87,1058.56,799.81,168.15,173.94,166.82,1959.0,719.0,891.0,3569.0,172.0,179.0,30.0,396.0,50.0,871.0,1011.0,1787.0,2506.0,283.0,642.0,1816.0,1125.0,398.0,538.0,1971.0,548.0,159.0,55.28,66.29,53.76,59.0,60.0,53.0,3494.34,2678.0,2636.81,298.0,29.5,35.9,35.93,168.91,167.39,163.49,2595.2,263.06,187.06,587.97,86.5,1446.96,1029.45,250.4,266.7,253.87,2655.0,946.0,1005.0,4606.0,274.0,287.0,26.0,510.0,88.0,1180.0,1262.0,2381.0,3327.0,247.0,576.0,2123.0,1235.0,471.0,562.0,2538.0,792.0,271.0,77.03,97.79,88.24,87.0,110.0,77.0,4730.77,3601.0,3679.91,264.0,41.28,56.77,56.81,247.52,250.82,243.88
ANA,2022,ANA,ANA,Team Level,5on5,68,0.4,0.43,0.42,202548.0,1513.03,122.6,97.07,360.36,49.32,811.74,633.91,118.27,121.2,116.95,1519.0,556.0,706.0,2781.0,117.0,137.0,21.0,326.0,43.0,648.0,805.0,1402.0,1958.0,249.0,571.0,1373.0,1064.0,328.0,452.0,1565.0,408.0,102.0,44.02,50.15,28.42,52.0,42.0,23.0,2706.34,2075.0,2033.81,262.0,20.05,26.06,25.89,116.76,115.23,113.4,2042.47,184.55,141.12,481.62,68.26,1140.08,833.38,176.56,188.19,180.04,2107.0,742.0,823.0,3672.0,188.0,228.0,20.0,415.0,74.0,913.0,1031.0,1919.0,2661.0,215.0,511.0,1663.0,1162.0,400.0,475.0,2078.0,595.0,176.0,63.29,73.28,47.97,72.0,84.0,32.0,3796.77,2849.0,2927.91,233.0,29.18,45.03,45.34,168.39,171.68,167.98
ANA,2022,ANA,ANA,Team Level,4on5,68,0.07,0.1,0.11,19894.0,47.29,3.62,2.11,7.0,1.42,14.66,34.18,3.59,3.62,3.59,51.0,12.0,9.0,72.0,0.0,0.0,0.0,2.0,1.0,13.0,47.0,51.0,63.0,11.0,25.0,170.0,30.0,34.0,25.0,46.0,14.0,3.0,1.14,1.72,0.77,0.0,0.0,0.0,72.0,63.0,63.0,23.0,0.49,0.0,0.0,4.11,4.11,4.07,375.39,48.24,33.8,76.78,12.52,225.13,117.52,45.48,48.24,45.48,372.0,142.0,123.0,637.0,58.0,46.0,4.0,72.0,10.0,186.0,142.0,314.0,456.0,13.0,27.0,217.0,13.0,12.0,39.0,331.0,126.0,57.0,9.14,14.94,24.17,11.0,17.0,30.0,637.0,514.0,514.0,0.0,8.84,8.38,7.79,49.3,49.3,47.4
ANA,2022,ANA,ANA,Team Level,5on4,68,0.84,0.88,0.86,18078.0,283.35,28.86,26.3,60.11,9.55,174.63,93.54,27.42,28.86,27.42,275.0,118.0,135.0,528.0,30.0,31.0,5.0,51.0,4.0,161.0,116.0,245.0,363.0,16.0,32.0,169.0,14.0,12.0,44.0,279.0,88.0,26.0,7.1,9.88,11.88,4.0,9.0,17.0,528.0,393.0,393.0,6.0,6.67,6.19,5.85,29.69,29.69,28.4,46.83,5.44,2.49,6.34,1.43,14.5,31.79,5.38,5.44,5.38,49.0,13.0,7.0,69.0,5.0,3.0,0.0,3.0,0.0,15.0,36.0,44.0,57.0,8.0,16.0,147.0,43.0,38.0,27.0,38.0,15.0,9.0,1.01,1.8,2.63,0.0,3.0,2.0,69.0,62.0,62.0,23.0,0.57,0.39,0.39,5.62,5.62,5.61
COL,2022,COL,COL,Team Level,other,67,0.51,0.57,0.56,7875.0,142.63,25.99,10.68,27.02,5.53,81.0,47.79,24.75,25.99,24.75,140.0,58.0,60.0,258.0,31.0,15.0,3.0,21.0,4.0,84.0,43.0,109.0,167.0,4.0,8.0,114.0,30.0,7.0,16.0,117.0,44.0,37.0,4.4,5.25,16.33,2.0,9.0,20.0,258.0,198.0,198.0,3.0,3.16,4.33,4.33,24.82,24.82,23.72,112.08,24.74,8.36,20.11,3.99,57.8,38.0,22.33,24.74,22.33,105.0,48.0,42.0,195.0,21.0,12.0,1.0,19.0,9.0,46.0,46.0,84.0,132.0,4.0,8.0,107.0,26.0,8.0,13.0,72.0,43.0,38.0,2.67,5.36,16.71,6.0,4.0,11.0,195.0,153.0,153.0,3.0,2.41,3.9,3.9,23.25,23.25,22.46
COL,2022,COL,COL,Team Level,all,67,0.51,0.52,0.51,244948.0,2133.4,211.58,151.28,488.53,70.9,1214.85,853.86,203.75,213.77,205.9,2231.0,760.0,1083.0,4074.0,216.0,173.0,26.0,482.0,78.0,960.0,1082.0,2015.0,2775.0,245.0,543.0,1830.0,1378.0,502.0,417.0,2204.0,577.0,210.0,66.74,70.28,74.55,69.0,74.0,73.0,4129.36,2991.0,3024.79,200.0,33.62,40.14,40.14,205.05,207.12,202.15,2030.29,202.33,144.81,464.91,67.89,1127.11,811.96,191.26,201.59,190.58,2100.0,719.0,908.0,3727.0,187.0,204.0,28.0,499.0,64.0,876.0,989.0,1913.0,2632.0,249.0,553.0,2113.0,1561.0,492.0,409.0,2059.0,545.0,215.0,59.63,67.7,75.0,65.0,66.0,56.0,3690.85,2819.0,2797.57,214.0,32.1,45.54,45.57,188.86,188.09,183.48
COL,2022,COL,COL,Team Level,5on5,67,0.52,0.52,0.51,196370.0,1641.79,141.29,110.23,391.97,53.83,930.02,678.64,136.96,143.49,139.11,1722.0,584.0,902.0,3208.0,134.0,121.0,17.0,395.0,60.0,718.0,878.0,1588.0,2172.0,226.0,505.0,1426.0,1263.0,437.0,346.0,1741.0,439.0,126.0,52.58,53.86,34.85,58.0,50.0,26.0,3263.36,2306.0,2339.79,178.0,22.71,26.31,26.46,137.53,139.59,137.32,1582.94,130.85,105.46,379.53,52.73,880.07,655.36,125.64,130.11,124.97,1650.0,554.0,752.0,2956.0,121.0,144.0,18.0,425.0,43.0,688.0,783.0,1529.0,2083.0,223.0,501.0,1606.0,1441.0,415.0,333.0,1687.0,395.0,122.0,48.69,48.85,33.3,54.0,47.0,20.0,2919.85,2204.0,2182.57,183.0,21.84,28.85,28.89,123.8,123.04,120.76
COL,2022,COL,COL,Team Level,4on5,67,0.08,0.11,0.12,19999.0,41.81,3.93,2.13,5.84,1.24,13.39,29.47,3.85,3.93,3.85,48.0,8.0,6.0,62.0,4.0,2.0,1.0,4.0,0.0,7.0,39.0,44.0,52.0,4.0,8.0,144.0,62.0,42.0,14.0,40.0,11.0,5.0,1.23,1.36,1.34,1.0,1.0,2.0,62.0,56.0,56.0,13.0,0.48,0.67,0.67,3.75,3.75,3.74,295.24,43.88,28.86,59.42,9.82,174.67,88.35,40.44,43.88,40.44,291.0,114.0,107.0,512.0,43.0,48.0,9.0,51.0,11.0,133.0,119.0,248.0,362.0,14.0,28.0,193.0,25.0,11.0,35.0,253.0,98.0,54.0,6.84,12.4,24.64,5.0,13.0,25.0,512.0,405.0,405.0,3.0,7.36,12.79,12.79,38.44,38.44,36.93
